Old URL: ~/Default.aspx, New URL: ~/Default, File Found: False
Old URL: ~/Pages/GlFinanceperiod1.aspx, New URL: ~/Pages/GlFinanceperiod1, File Found: False
Old URL: ~/Pages/Balancerulamountf.aspx, New URL: ~/Pages/Balancerulamountf, File Found: False
Old URL: ~/Pages/GLschstatmentf.aspx, New URL: ~/Pages/GLschstatmentf, File Found: False
Old URL: ~/Pages/schattachglpaylists.aspx, New URL: ~/Pages/schattachglpaylists, File Found: False
Old URL: ~/Pages/schattachvchlists.aspx, New URL: ~/Pages/schattachvchlists, File Found: False
Old URL: ~/Pages/qcheckinout1001.aspx, New URL: ~/Pages/qcheckinout1001, File Found: False
Old URL: ~/Pages/qcheckinout1002.aspx, New URL: ~/Pages/qcheckinout1002, File Found: False
Old URL: ~/Pages/userrel.aspx, New URL: ~/Pages/userrel, File Found: False
Old URL: ~/Pages/Userarea.aspx, New URL: ~/aspxpages/Userarea.aspx, File Found: True
Old URL: ~/Pages/tablename.aspx, New URL: ~/aspxpages/tablename.aspx, File Found: True
Old URL: ~/Pages/PageActionInRoles.aspx, New URL: ~/Pages/PageActionInRoles, File Found: False
Old URL: ~/Pages/Pagesactionlist.aspx, New URL: ~/aspxpages/aspxpagesactionlist.aspx, File Found: True
Old URL: ~/Pages/UserDatabases.aspx, New URL: ~/Pages/UserDatabases, File Found: False
Old URL: ~/Pages/TableRolesnew.aspx, New URL: ~/aspxpages/TableRolesnew.aspx, File Found: True
Old URL: ~/Pages/Rolespageaction.aspx, New URL: ~/Pages/Rolespageaction, File Found: False
Old URL: ~/Pages/vwaspnetpageforUsers.aspx, New URL: ~/Pages/vwaspnetpageforUsers, File Found: False
Old URL: ~/Pages/sys_f_keys.aspx, New URL: ~/Pages/sys_f_keys, File Found: False
Old URL: ~/Pages/Table_Schema_View.aspx, New URL: ~/Pages/Table_Schema_View, File Found: False
Old URL: ~/Pages/TablesRowcount.aspx, New URL: ~/Pages/TablesRowcount, File Found: False
Old URL: ~/Pages/Qchecklist.aspx, New URL: ~/Pages/Qchecklist, File Found: False
Old URL: ~/Pages/OptionTB.aspx, New URL: ~/Pages/OptionTB, File Found: False
Old URL: ~/Pages/optionselection.aspx, New URL: ~/Pages/optionselection, File Found: False
Old URL: ~/Pages/MsgBoard.aspx, New URL: ~/Pages/MsgBoard, File Found: False
Old URL: ~/Pages/daynamiclist.aspx, New URL: ~/Pages/daynamiclist, File Found: False
Old URL: ~/Pages/mrtcontrollerName.aspx, New URL: ~/Pages/mrtcontrollerName, File Found: False
Old URL: ~/Pages/General_Ledger1.aspx, New URL: ~/aspxpages/General_Ledger1.aspx, File Found: True
Old URL: ~/Pages/General_Ledgergladmin.aspx, New URL: ~/aspxpages/General_Ledgergladmin.aspx, File Found: True
Old URL: ~/Pages/AccountChart11.aspx, New URL: ~/Pages/AccountChart11, File Found: False
Old URL: ~/Pages/AccountChart.aspx, New URL: ~/aspxpages/AccountChart.aspx, File Found: True
Old URL: ~/Pages/GLmfbab.aspx, New URL: ~/aspxpages/GLmfbab.aspx, File Found: True
Old URL: ~/Pages/GLmfband.aspx, New URL: ~/aspxpages/GLmfband.aspx, File Found: True
Old URL: ~/Pages/GLmstrfl.aspx, New URL: ~/Pages/GLmstrfl, File Found: False
